Order Date,Product Name,Category,Region,Quantity,Sales,Profit
12/31/2024,Printer,Office,North,4,3640.00,348.93
11/27/2022,Mouse,Accessories,East,7,1197.00,106.53
5/11/2022,Tablet,Electronics,South,5,5865.00,502.73
3/16/2024,Mouse,Accessories,South,2,786.00,202.87
9/10/2022,Mouse,Accessories,West,1,509.00,103.28
12/1/2023,Camera,Electronics,West,1,524.00,106.35
10/9/2023,Headphones,Accessories,North,7,6167.00,1027.98
1/14/2022,Camera,Electronics,South,7,3059.00,873.50
4/2/2022,Smartwatch,Electronics,East,9,5526.00,595.28
10/22/2024,Printer,Office,South,8,672.00,186.37
12/4/2023,Monitor,Accessories,South,6,7074.00,1357.68
9/27/2022,Smartwatch,Electronics,East,2,502.00,137.40
12/21/2023,Tablet,Electronics,North,7,7462.00,2166.17
2/3/2024,Smartphone,Electronics,West,5,4205.00,585.29
10/10/2023,Camera,Electronics,West,1,570.00,138.54
10/16/2022,Headphones,Accessories,East,1,441.00,102.42
5/15/2022,Mouse,Accessories,North,7,7469.00,589.81
2/11/2023,Tablet,Electronics,South,2,2212.00,145.75
12/27/2023,Tablet,Electronics,East,5,740.00,146.39
10/5/2023,Headphones,Accessories,North,1,662.00,193.92
3/5/2024,Mouse,Accessories,North,7,5712.00,651.27
7/18/2023,Smartwatch,Electronics,North,3,2739.00,572.73
6/25/2023,Keyboard,Accessories,West,5,1400.00,213.63
11/13/2023,Printer,Office,North,3,3477.00,939.20
7/9/2022,Camera,Electronics,North,5,3475.00,570.36
12/11/2023,Laptop,Electronics,West,9,6138.00,1562.14
3/18/2023,Camera,Electronics,West,5,3665.00,406.93
8/9/2024,Printer,Office,North,2,2372.00,206.42
5/4/2024,Laptop,Electronics,North,2,1382.00,211.11
9/4/2022,Laptop,Electronics,West,1,1126.00,194.08
10/21/2022,Printer,Office,West,8,1376.00,152.10
1/22/2024,Mouse,Accessories,West,4,988.00,147.91
4/9/2023,Laptop,Electronics,North,9,10773.00,1907.36
2/7/2023,Headphones,Accessories,South,4,3252.00,713.46
5/4/2023,Headphones,Accessories,North,3,2739.00,202.81
4/18/2023,Tablet,Electronics,South,7,2709.00,702.79
12/12/2022,Printer,Office,West,3,936.00,201.24
9/11/2022,Camera,Electronics,West,4,3720.00,410.92
3/26/2024,Mouse,Accessories,West,5,5320.00,716.91
9/20/2023,Headphones,Accessories,East,4,804.00,121.51
5/25/2023,Laptop,Electronics,North,8,1224.00,246.77
12/4/2022,Headphones,Accessories,South,9,8667.00,781.78
6/10/2022,Monitor,Accessories,West,3,3018.00,320.11
2/5/2023,Laptop,Electronics,West,5,4325.00,1023.39
1/20/2024,Laptop,Electronics,South,3,1557.00,181.08
1/27/2022,Monitor,Accessories,South,6,3672.00,1002.50
3/29/2023,Mouse,Accessories,West,1,333.00,72.34
1/17/2022,Headphones,Accessories,West,4,2384.00,577.26
11/26/2024,Mouse,Accessories,West,6,888.00,210.39
9/19/2024,Laptop,Electronics,West,5,3280.00,954.17
7/20/2023,Mouse,Accessories,South,7,1239.00,177.39
5/3/2024,Headphones,Accessories,East,8,5880.00,436.85
9/3/2022,Smartphone,Electronics,West,2,1668.00,437.30
7/9/2024,Printer,Office,West,7,4109.00,1037.64
11/17/2022,Smartwatch,Electronics,West,7,595.00,148.50
12/28/2023,Headphones,Accessories,East,7,8155.00,1587.91
5/30/2022,Monitor,Accessories,South,3,1872.00,553.10
